team,salary,player
Golden State Warriors,40231758,Stephen Curry
Oklahoma City Thunder,38506482,Chris Paul
Houston Rockets,38506482,Russell Westbrook
Washington Wizards,38199000,John Wall
Brooklyn Nets,38199000,Kevin Durant
Houston Rockets,38199000,James Harden
Los Angeles Lakers,37436858,LeBron James
Toronto Raptors,34996296,Kyle Lowry
Detroit Pistons,34449964,Blake Griffin
Philadelphia 76ers,32742000,Tobias Harris
Miami Heat,32742000,Jimmy Butler
LA Clippers,32742000,Kawhi Leonard
Golden State Warriors,32742000,Klay Thompson
Boston Celtics,32742000,Kemba Walker
Boston Celtics,32700690,Gordon Hayward
Utah Jazz,32511624,Mike Conley
Brooklyn Nets,31742000,Kyrie Irving
Milwaukee Bucks,30603448,Khris Middleton
LA Clippers,30560700,Paul George
Denver Nuggets,30350000,Paul Millsap
Portland Trail Blazers,29802321,Damian Lillard
Cleveland Cavaliers,28942830,Kevin Love
Philadelphia 76ers,28000000,Al Horford
Orlando Magic,28000000,Nikola Vucevic
San Antonio Spurs,27739975,DeMar DeRozan
Portland Trail Blazers,27556959,CJ McCollum
Philadelphia 76ers,27504630,Joel Embiid
Minnesota Timberwolves,27504630,Andrew Wiggins
Denver Nuggets,27504630,Nikola Jokic
Phoenix Suns,27285000,Devin Booker
Minnesota Timberwolves,27285000,D'Angelo Russell
Minnesota Timberwolves,27285000,Karl-Anthony Towns
Dallas Mavericks,27285000,Kristaps Porzingis
Chicago Bulls,27250575,Otto Porter Jr.
Washington Wizards,27093019,Bradley Beal
Detroit Pistons,27093019,Andre Drummond
Los Angeles Lakers,27093018,Anthony Davis
Portland Trail Blazers,27093017,Hassan Whiteside
New Orleans Pelicans,26231111,Jrue Holiday
San Antonio Spurs,26000000,LaMarcus Aldridge
Oklahoma City Thunder,25842697,Steven Adams
Milwaukee Bucks,25842697,Giannis Antetokounmpo
Toronto Raptors,25595700,Marc Gasol
Charlotte Hornets,25565217,Nicolas Batum
Atlanta Hawks,25102511,Chandler Parsons
Sacramento Kings,24147727,Harrison Barnes
Toronto Raptors,23271604,Serge Ibaka
Utah Jazz,23241573,Rudy Gobert
Oklahoma City Thunder,22615559,Danilo Gallinari
Indiana Pacers,21000000,Victor Oladipo
Dallas Mavericks,20025127,Tim Hardaway Jr.
Indiana Pacers,20000000,Malcolm Brogdon
Charlotte Hornets,19894737,Terry Rozier
Orlando Magic,19863636,Aaron Gordon
Chicago Bulls,19500000,Zach LaVine
Sacramento Kings,19269662,Kent Bazemore
Miami Heat,19217900,Goran Dragic
Minnesota Timberwolves,19000000,Jeff Teague
Atlanta Hawks,18606556,Evan Turner
Golden State Warriors,18539130,Draymond Green
Cleveland Cavaliers,18539130,Tristan Thompson
Minnesota Timberwolves,18500000,Allen Crabbe
New York Knicks,18000000,Julius Randle
Indiana Pacers,18000000,Myles Turner
Denver Nuggets,17839286,Gary Harris
New Orleans Pelicans,17650000,Derrick Favors
Miami Heat,17185185,Andre Iguodala
Orlando Magic,17150000,Evan Fournier
Charlotte Hornets,17000000,Bismack Biyombo
Utah Jazz,17000000,Bojan Bogdanovic
Orlando Magic,16720000,Timofey Mozgov
Memphis Grizzlies,16229213,Gorgui Dieng
Phoenix Suns,16200000,Ricky Rubio
Memphis Grizzlies,16000000,Jonas Valanciunas
Los Angeles Lakers,15680000,JR Smith
Detroit Pistons,15643750,Brandon Knight
Phoenix Suns,15625000,Kelly Oubre Jr.
Milwaukee Bucks,15625000,Eric Bledsoe
Oklahoma City Thunder,15500000,Dennis Schroder
Washington Wizards,15450051,Ian Mahinmi
Minnesota Timberwolves,15349400,James Johnson
New York Knicks,15000000,Bobby Portis
New York Knicks,15000000,Marcus Morris Sr.
Houston Rockets,14896552,Clint Capela
Miami Heat,14651700,Luke Babbitt
Los Angeles Lakers,14634146,Danny Green
San Antonio Spurs,14500000,Rudy Gay
Charlotte Hornets,14471910,Cody Zeller
Houston Rockets,14057730,Eric Gordon
Denver Nuggets,14041096,Mason Plumlee
LA Clippers,13565218,Marcin Gortat
New Orleans Pelicans,13486300,JJ Redick
Utah Jazz,13437500,Jordan Clarkson
Sacramento Kings,13333333,Dewayne Dedmon
Portland Trail Blazers,13125000,Jusuf Nurkic
Miami Heat,13000000,Justise Winslow
Chicago Bulls,12900000,Thaddeus Young
Denver Nuggets,12776786,Will Barton
Dallas Mavericks,12759670,Courtney Lee
Memphis Grizzlies,12758781,Solomon Hill
Cleveland Cavaliers,12727273,Larry Nance Jr.
Miami Heat,12667885,Kelly Olynyk
Boston Celtics,12553571,Marcus Smart
Memphis Grizzlies,12500000,Miles Plumlee
Orlando Magic,12500000,Terrence Ross
Milwaukee Bucks,12500000,Nikola Mirotic
San Antonio Spurs,12428571,Patty Mills
Indiana Pacers,12400000,Tyreke Evans
LA Clippers,12345680,Patrick Beverley
Sacramento Kings,12195122,Trevor Ariza
Milwaukee Bucks,12093023,Brook Lopez
Sacramento Kings,12000000,Cory Joseph
Utah Jazz,11954546,Joe Ingles
Dallas Mavericks,11692308,Zach Randolph
Detroit Pistons,11392857,Tony Snell
Minnesota Timberwolves,11301219,Robert Covington
Miami Heat,11286516,Meyers Leonard
Chicago Bulls,11286516,Omer Asik
New York Knicks,11011234,Maurice Harkless
Indiana Pacers,10810000,T.J. Warren
Oklahoma City Thunder,10740740,Andre Roberson
Brooklyn Nets,10605600,Spencer Dinwiddie
Indiana Pacers,10500000,Jeremy Lamb
Dallas Mavericks,10259375,Dwight Powell
Toronto Raptors,10116576,Norman Powell
Philadelphia 76ers,10116576,Josh Richardson
Indiana Pacers,10000000,Darren Collison
